ID,地点名,收益ID,关卡类型,战斗场景,场景音乐,默认开启,描述,场景怪物列表,图标,首掉频率,首次掉落组,随后频率,地点掉落组,事件1探索时间,事件1,宝箱掉落,场景类型
100377,32-2,32,2,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110000002,3600,110000002,120,1000377,,8
100378,32-3,32,3,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110100159,3600,110100159,120,1000378,,8
100379,32-4,32,4,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110100160,14400,110100160,120,1000379,,8
100380,32-5,32,5,iceberg,boss,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,300100160,3600,200100160,1200,1000380,,8
100381,32-1,76,1,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110000001,3600,110000001,120,1000381,,8
100382,32-2,76,2,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110000002,3600,110000002,120,1000382,,8
100383,32-3,76,3,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110200159,3600,110200159,120,1000383,,8
100384,32-4,76,4,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110200160,14400,110200160,120,1000384,,8
100385,32-5,76,5,iceberg,boss,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,300200160,3600,200200160,1200,1000385,,8
100386,32-1,114,1,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110000001,3600,110000001,120,1000386,,8
100387,32-2,114,2,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110000002,3600,110000002,120,1000387,,8
100388,32-3,114,3,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110300159,3600,110300159,120,1000388,,8
100389,32-4,114,4,iceberg,city,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,110300160,14400,110300160,120,1000389,,8
100390,32-5,114,5,iceberg,boss,,,19000045|18000039|19000046|17000030|18000029|18000003|17000005|18000021|18000021|16000010|16000011|16000013|16000012,icon/maze/iceberg,1200,300300160,3600,200300160,1200,1000390,,8
100391,33-1,33,1,aircity,field,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110000001,3600,110000001,120,1000391,,1
100392,33-2,33,2,aircity,field,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110000002,3600,110000002,120,1000392,,1
100393,33-3,33,3,aircity,mining,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110100164,3600,110100164,120,1000393,,1
100394,33-4,33,4,aircity,mining,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110100165,14400,110100165,120,1000394,,1
100395,33-5,33,5,aircity,boss,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,300100165,3600,200100165,1200,1000395,,1
100396,33-1,77,1,aircity,field,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110000001,3600,110000001,120,1000396,,1
100397,33-2,77,2,aircity,field,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110000002,3600,110000002,120,1000397,,1
100398,33-3,77,3,aircity,mining,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110200164,3600,110200164,120,1000398,,1
100399,33-4,77,4,aircity,mining,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110200165,14400,110200165,120,1000399,,1
100400,33-5,77,5,aircity,boss,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,300200165,3600,200200165,1200,1000400,,1
100401,33-1,115,1,aircity,field,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110000001,3600,110000001,120,1000401,,1
100402,33-2,115,2,aircity,field,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110000002,3600,110000002,120,1000402,,1
100403,33-3,115,3,aircity,mining,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110300164,3600,110300164,120,1000403,,1
100404,33-4,115,4,aircity,mining,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,110300165,14400,110300165,120,1000404,,1
100405,33-5,115,5,aircity,boss,,,18000033|18000031|18000038|17000030|18000036,icon/maze/aircity,1200,300300165,3600,200300165,1200,1000405,,1
100406,34-1,34,1,iceberg,field,,梅林,17000012|11000008|11000033|11000034|11000035,icon/maze/iceberg,1200,110000001,3600,110000001,120,1000406,,8
100407,34-2,34,2,iceberg,city,,圣女贞德,19000010|11000001,icon/maze/iceberg,1200,110000002,3600,110000002,120,1000407,,8
100408,34-3,34,3,iceberg,mining,,奥村磷,18000008|11000002,icon/maze/iceberg,1200,110100169,3600,110100169,120,1000408,,8
100409,34-4,34,4,iceberg,mining,,关云长 赵子龙 马超,18000009|18000010|18000026,icon/maze/iceberg,1200,110100170,14400,110100170,120,1000409,,8
100410,34-5,34,5,iceberg,boss,,兰斯洛特,18000006|13000005,icon/maze/iceberg,1200,300100170,3600,200100170,1200,1000410,,8
100411,34-1,78,1,iceberg,field,,梅林,17000012|11000008|11000033|11000034|11000035,icon/maze/iceberg,1200,110000001,3600,110000001,120,1000411,,8
100412,34-2,78,2,iceberg,city,,圣女贞德,19000010|11000001,icon/maze/iceberg,1200,110000002,3600,110000002,120,1000412,,8
100413,34-3,78,3,iceberg,mining,,奥村磷,18000008|11000002,icon/maze/iceberg,1200,110200169,3600,110200169,120,1000413,,8
100414,34-4,78,4,iceberg,mining,,关云长 赵子龙 马超,18000009|18000010|18000026,icon/maze/iceberg,1200,110200170,14400,110200170,120,1000414,,8
100415,34-5,78,5,iceberg,boss,,兰斯洛特,18000006|13000005,icon/maze/iceberg,1200,300200170,3600,200200170,1200,1000415,,8
100416,34-1,116,1,iceberg,field,,梅林,17000012|11000008|11000033|11000034|11000035,icon/maze/iceberg,1200,110000001,3600,110000001,120,1000416,,8
100417,34-2,116,2,iceberg,city,,圣女贞德,19000010|11000001,icon/maze/iceberg,1200,110000002,3600,110000002,120,1000417,,8
100418,34-3,116,3,iceberg,mining,,奥村磷,18000008|11000002,icon/maze/iceberg,1200,110300169,3600,110300169,120,1000418,,8
100419,34-4,116,4,iceberg,mining,,关云长 赵子龙 马超,18000009|18000010|18000026,icon/maze/iceberg,1200,110300170,14400,110300170,120,1000419,,8
100420,34-5,116,5,iceberg,boss,,兰斯洛特,18000006|13000005,icon/maze/iceberg,1200,300300170,3600,200300170,1200,1000420,,8
100421,35-1,35,1,mountain,field,,大乔 小乔 黄月英,17000025|17000026|17000027,icon/maze/mountain,1200,110000001,3600,110000001,120,1000421,,9
100422,35-2,35,2,mountain,mining,,至尊宝,18000041|12000007|12000006|12000005,icon/maze/mountain,1200,110000002,3600,110000002,120,1000422,,9
100423,35-3,35,3,mountain,field,,紫霞仙子,19000051|12000007|12000005|12000004,icon/maze/mountain,1200,110100174,3600,110100174,120,1000423,,9
100424,35-4,35,4,mountain,city,,小龙女,17000025|17000026|17000027,icon/maze/mountain,1200,110100175,14400,110100175,120,1000424,,9
100425,35-5,35,5,mountain,boss,,杨过,19000024|19000025,icon/maze/mountain,1200,300100175,3600,200100175,1200,1000425,,9
100426,35-1,79,1,mountain,field,,大乔 小乔 黄月英,17000025|17000026|17000027,icon/maze/mountain,1200,110000001,3600,110000001,120,1000426,,9
100427,35-2,79,2,mountain,mining,,至尊宝,18000041|12000007|12000006|12000005,icon/maze/mountain,1200,110000002,3600,110000002,120,1000427,,9
100428,35-3,79,3,mountain,field,,紫霞仙子,19000051|12000007|12000005|12000004,icon/maze/mountain,1200,110200174,3600,110200174,120,1000428,,9
100429,35-4,79,4,mountain,city,,小龙女,17000025|17000026|17000027,icon/maze/mountain,1200,110200175,14400,110200175,120,1000429,,9
100430,35-5,79,5,mountain,boss,,杨过,19000024|19000025,icon/maze/mountain,1200,300200175,3600,200200175,1200,1000430,,9
100431,35-1,117,1,mountain,field,,大乔 小乔 黄月英,17000025|17000026|17000027,icon/maze/mountain,1200,110000001,3600,110000001,120,1000431,,9
100432,35-2,117,2,mountain,mining,,至尊宝,18000041|12000007|12000006|12000005,icon/maze/mountain,1200,110000002,3600,110000002,120,1000432,,9
100433,35-3,117,3,mountain,field,,紫霞仙子,19000051|12000007|12000005|12000004,icon/maze/mountain,1200,110300174,3600,110300174,120,1000433,,9
100434,35-4,117,4,mountain,city,,小龙女,17000025|17000026|17000027,icon/maze/mountain,1200,110300175,14400,110300175,120,1000434,,9
100435,35-5,117,5,mountain,boss,,杨过,19000024|19000025,icon/maze/mountain,1200,300300175,3600,200300175,1200,1000435,,9
100436,36-1,36,1,angel,field,,,13000003|13000004|13000005|13000006,icon/maze/angel,1200,110000001,3600,110000001,120,1000436,,2
100437,36-2,36,2,angel,mining,,,17000026|17000014|13000003,icon/maze/angel,1200,110000002,3600,110000002,120,1000437,,2
100438,36-3,36,3,angel,city,,,18000010|18000032|17000025|17000013|17000014|13000003,icon/maze/angel,1200,110100179,3600,110100179,120,1000438,,2
100439,36-4,36,4,angel,mining,,,18000032|17000025|17000013|17000014|13000003,icon/maze/angel,1200,110100180,14400,110100180,120,1000439,,2
100440,36-5,36,5,angel,boss,,,18000011|18000032|17000025|17000013|17000014|13000003,icon/maze/angel,1200,300100180,3600,200100180,1200,1000440,,2
100441,36-1,80,1,angel,field,,,13000003|13000004|13000005|13000006,icon/maze/angel,1200,110000001,3600,110000001,120,1000441,,2
100442,36-2,80,2,angel,mining,,,17000026|17000014|13000003,icon/maze/angel,1200,110000002,3600,110000002,120,1000442,,2
100443,36-3,80,3,angel,city,,,18000010|18000032|17000025|17000013|17000014|13000003,icon/maze/angel,1200,110200179,3600,110200179,120,1000443,,2
100444,36-4,80,4,angel,mining,,,18000032|17000025|17000013|17000014|13000003,icon/maze/angel,1200,110200180,14400,110200180,120,1000444,,2
100445,36-5,80,5,angel,boss,,,18000011|18000032|17000025|17000013|17000014|13000003,icon/maze/angel,1200,300200180,3600,200200180,1200,1000445,,2
100446,36-1,118,1,angel,field,,,13000003|13000004|13000005|13000006,icon/maze/angel,1200,110000001,3600,110000001,120,1000446,,2
100447,36-2,118,2,angel,mining,,,17000026|17000014|13000003,icon/maze/angel,1200,110000002,3600,110000002,120,1000447,,2
100448,36-3,118,3,angel,city,,,18000010|18000032|17000025|17000013|17000014|13000003,icon/maze/angel,1200,110300179,3600,110300179,120,1000448,,2
100449,36-4,118,4,angel,mining,,,18000032|17000025|17000013|17000014|13000003,icon/maze/angel,1200,110300180,14400,110300180,120,1000449,,2
100450,36-5,118,5,angel,boss,,,18000011|18000032|17000025|17000013|17000014|13000003,icon/maze/angel,1200,300300180,3600,200300180,1200,1000450,,2
100451,37-1,37,1,relic,mining,,,18000008|18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110000001,3600,110000001,120,1000451,,15
100452,37-2,37,2,relic,mining,,,18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110000002,3600,110000002,120,1000452,,15
100453,37-3,37,3,relic,mining,,,18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110100184,3600,110100184,120,1000453,,15
100454,37-4,37,4,relic,mining,,,18000008|18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110100185,14400,110100185,120,1000454,,15
100455,37-5,37,5,relic,boss,,,18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,300100185,3600,200100185,1200,1000455,,15
100456,37-1,81,1,relic,mining,,,18000008|18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110000001,3600,110000001,120,1000456,,15
100457,37-2,81,2,relic,mining,,,18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110000002,3600,110000002,120,1000457,,15
100458,37-3,81,3,relic,mining,,,18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110200184,3600,110200184,120,1000458,,15
100459,37-4,81,4,relic,mining,,,18000008|18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110200185,14400,110200185,120,1000459,,15
100460,37-5,81,5,relic,boss,,,18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,300200185,3600,200200185,1200,1000460,,15
100461,37-1,119,1,relic,mining,,,18000008|18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110000001,3600,110000001,120,1000461,,15
100462,37-2,119,2,relic,mining,,,18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110000002,3600,110000002,120,1000462,,15
100463,37-3,119,3,relic,mining,,,18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110300184,3600,110300184,120,1000463,,15
100464,37-4,119,4,relic,mining,,,18000008|18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,110300185,14400,110300185,120,1000464,,15
100465,37-5,119,5,relic,boss,,,18000035|17000002|18000032|18000048|19000027,icon/maze/relic,1200,300300185,3600,200300185,1200,1000465,,15
100466,38-1,38,1,forest,mining,,,20000003|20000004|20000005|20000006,icon/maze/forest,1200,110000001,3600,110000001,120,1000466,,7
100467,38-2,38,2,forest,mining,,,20000003|20000004|20000005|20000006,icon/maze/forest,1200,110000002,3600,110000002,120,1000467,,7
100468,38-3,38,3,forest,field,,,13000017|13000018,icon/maze/forest,1200,110100189,3600,110100189,120,1000468,,7
100469,38-4,38,4,forest,field,,,13000017|13000018,icon/maze/forest,1200,110100190,14400,110100190,120,1000469,,7
100470,38-5,38,5,forest,boss,,,13000017|13000018,icon/maze/forest,1200,300100190,3600,200100190,1200,1000470,,7
100471,38-1,82,1,forest,mining,,,20000003|20000004|20000005|20000006,icon/maze/forest,1200,110000001,3600,110000001,120,1000471,,7
100472,38-2,82,2,forest,mining,,,20000003|20000004|20000005|20000006,icon/maze/forest,1200,110000002,3600,110000002,120,1000472,,7
100473,38-3,82,3,forest,field,,,13000017|13000018,icon/maze/forest,1200,110200189,3600,110200189,120,1000473,,7
100474,38-4,82,4,forest,field,,,13000017|13000018,icon/maze/forest,1200,110200190,14400,110200190,120,1000474,,7
100475,38-5,82,5,forest,boss,,,13000017|13000018,icon/maze/forest,1200,300200190,3600,200200190,1200,1000475,,7
100476,38-1,120,1,forest,mining,,,20000003|20000004|20000005|20000006,icon/maze/forest,1200,110000001,3600,110000001,120,1000476,,7
100477,38-2,120,2,forest,mining,,,20000003|20000004|20000005|20000006,icon/maze/forest,1200,110000002,3600,110000002,120,1000477,,7
100478,38-3,120,3,forest,field,,,13000017|13000018,icon/maze/forest,1200,110300189,3600,110300189,120,1000478,,7
100479,38-4,120,4,forest,field,,,13000017|13000018,icon/maze/forest,1200,110300190,14400,110300190,120,1000479,,7
100480,38-5,120,5,forest,boss,,,13000017|13000018,icon/maze/forest,1200,300300190,3600,200300190,1200,1000480,,7
100481,39-1,39,1,volcano,field,,,18000013|15000004,icon/maze/volcano,1200,110000001,3600,110000001,120,1000481,,19
100482,39-2,39,2,volcano,city,,卓戈卡奥,19000028|11000002,icon/maze/volcano,1200,110000002,3600,110000002,120,1000482,,19
100483,39-3,39,3,volcano,field,,丹妮丽丝 无垢者一群,18000020|11000006,icon/maze/volcano,1200,110100194,3600,110100194,120,1000483,,19
100484,39-4,39,4,volcano,mining,,奥村磷,18000008|13000006,icon/maze/volcano,1200,110100195,14400,110100195,120,1000484,,19
100485,39-5,39,5,volcano,boss,,魔化信长 魔化群众一群,19000023|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005|11000002|11000001|11000003,icon/maze/volcano,1200,300100195,3600,200100195,1200,1000485,,19
100486,39-1,83,1,volcano,field,,,18000013|15000004,icon/maze/volcano,1200,110000001,3600,110000001,120,1000486,,19
100487,39-2,83,2,volcano,city,,卓戈卡奥,19000028|11000002,icon/maze/volcano,1200,110000002,3600,110000002,120,1000487,,19
100488,39-3,83,3,volcano,field,,丹妮丽丝 无垢者一群,18000020|11000006,icon/maze/volcano,1200,110200194,3600,110200194,120,1000488,,19
100489,39-4,83,4,volcano,mining,,奥村磷,18000008|13000006,icon/maze/volcano,1200,110200195,14400,110200195,120,1000489,,19
100490,39-5,83,5,volcano,boss,,魔化信长 魔化群众一群,19000023|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005|11000002|11000001|11000003,icon/maze/volcano,1200,300200195,3600,200200195,1200,1000490,,19
100491,39-1,121,1,volcano,field,,,18000013|15000004,icon/maze/volcano,1200,110000001,3600,110000001,120,1000491,,19
100492,39-2,121,2,volcano,city,,卓戈卡奥,19000028|11000002,icon/maze/volcano,1200,110000002,3600,110000002,120,1000492,,19
100493,39-3,121,3,volcano,field,,丹妮丽丝 无垢者一群,18000020|11000006,icon/maze/volcano,1200,110300194,3600,110300194,120,1000493,,19
100494,39-4,121,4,volcano,mining,,奥村磷,18000008|13000006,icon/maze/volcano,1200,110300195,14400,110300195,120,1000494,,19
100495,39-5,121,5,volcano,boss,,魔化信长 魔化群众一群,19000023|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005|11000002|11000001|11000003,icon/maze/volcano,1200,300300195,3600,200300195,1200,1000495,,19
100496,40-1,40,1,path,field,,不起眼的青年,11000025,icon/maze/path,1200,110000001,3600,110000001,120,1000496,,13
100497,40-2,40,2,path,field,,扫地僧,19000035|12000006,icon/maze/path,1200,110000002,3600,110000002,120,1000497,,13
100498,40-3,40,3,path,mining,,夫子,19000052|11000012,icon/maze/path,1200,110100199,3600,110100199,120,1000498,,13
100499,40-4,40,4,path,mining,,老子,19000053|11000012,icon/maze/path,1200,110100200,14400,110100200,120,1000499,,13
100500,40-5,40,5,path,boss,,坂田金时,19000007|16000010|16000011|16000012|17000014,icon/maze/path,1200,300100200,3600,200100200,1200,1000500,,13
100501,40-1,84,1,path,field,,不起眼的青年,11000025,icon/maze/path,1200,110000001,3600,110000001,120,1000501,,13
100502,40-2,84,2,path,field,,扫地僧,19000035|12000006,icon/maze/path,1200,110000002,3600,110000002,120,1000502,,13
100503,40-3,84,3,path,mining,,夫子,19000052|11000012,icon/maze/path,1200,110200199,3600,110200199,120,1000503,,13
100504,40-4,84,4,path,mining,,老子,19000053|11000012,icon/maze/path,1200,110200200,14400,110200200,120,1000504,,13
100505,40-5,84,5,path,boss,,坂田金时,19000007|16000010|16000011|16000012|17000014,icon/maze/path,1200,300200200,3600,200200200,1200,1000505,,13
100506,40-1,122,1,path,field,,不起眼的青年,11000025,icon/maze/path,1200,110000001,3600,110000001,120,1000506,,13
100507,40-2,122,2,path,field,,扫地僧,19000035|12000006,icon/maze/path,1200,110000002,3600,110000002,120,1000507,,13
100508,40-3,122,3,path,mining,,夫子,19000052|11000012,icon/maze/path,1200,110300199,3600,110300199,120,1000508,,13
100509,40-4,122,4,path,mining,,老子,19000053|11000012,icon/maze/path,1200,110300200,14400,110300200,120,1000509,,13
100510,40-5,122,5,path,boss,,坂田金时,19000007|16000010|16000011|16000012|17000014,icon/maze/path,1200,300300200,3600,200300200,1200,1000510,,13
100511,41-1,41,1,ether,field,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110000001,3600,110000001,120,1000511,,4
100512,41-2,41,2,ether,mining,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110000002,3600,110000002,120,1000512,,4
100513,41-3,41,3,ether,field,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110100204,3600,110100204,120,1000513,,4
100514,41-4,41,4,ether,mining,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110100205,14400,110100205,120,1000514,,4
100515,41-5,41,5,ether,boss,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,300100205,3600,200100205,1200,1000515,,4
100516,41-1,85,1,ether,field,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110000001,3600,110000001,120,1000516,,4
100517,41-2,85,2,ether,mining,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110000002,3600,110000002,120,1000517,,4
100518,41-3,85,3,ether,field,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110200204,3600,110200204,120,1000518,,4
100519,41-4,85,4,ether,mining,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110200205,14400,110200205,120,1000519,,4
100520,41-5,85,5,ether,boss,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,300200205,3600,200200205,1200,1000520,,4
100521,41-1,123,1,ether,field,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110000001,3600,110000001,120,1000521,,4
100522,41-2,123,2,ether,mining,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110000002,3600,110000002,120,1000522,,4
100523,41-3,123,3,ether,field,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110300204,3600,110300204,120,1000523,,4
100524,41-4,123,4,ether,mining,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,110300205,14400,110300205,120,1000524,,4
100525,41-5,123,5,ether,boss,,,11000033|11000034|11000035|18000018|19000017,icon/maze/ether,1200,300300205,3600,200300205,1200,1000525,,4
100526,42-1,42,1,mountain,field,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110000001,3600,110000001,120,1000526,,9
100527,42-2,42,2,mountain,mining,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110000002,3600,110000002,120,1000527,,9
100528,42-3,42,3,mountain,city,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110100209,3600,110100209,120,1000528,,9
100529,42-4,42,4,mountain,field,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110100210,14400,110100210,120,1000529,,9
100530,42-5,42,5,mountain,boss,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,300100210,3600,200100210,1200,1000530,,9
100531,42-1,86,1,mountain,field,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110000001,3600,110000001,120,1000531,,9
100532,42-2,86,2,mountain,mining,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110000002,3600,110000002,120,1000532,,9
100533,42-3,86,3,mountain,city,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110200209,3600,110200209,120,1000533,,9
100534,42-4,86,4,mountain,field,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110200210,14400,110200210,120,1000534,,9
100535,42-5,86,5,mountain,boss,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,300200210,3600,200200210,1200,1000535,,9
100536,42-1,124,1,mountain,field,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110000001,3600,110000001,120,1000536,,9
100537,42-2,124,2,mountain,mining,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110000002,3600,110000002,120,1000537,,9
100538,42-3,124,3,mountain,city,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110300209,3600,110300209,120,1000538,,9
100539,42-4,124,4,mountain,field,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,110300210,14400,110300210,120,1000539,,9
100540,42-5,124,5,mountain,boss,,,14000002|14000003|14000001|14000004|14000005,icon/maze/mountain,1200,300300210,3600,200300210,1200,1000540,,9
100541,43-1,43,1,cave,city,,,19000029|19000029,icon/maze/cave,1200,110000001,3600,110000001,120,1000541,,3
100542,43-2,43,2,cave,field,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,110000002,3600,110000002,120,1000542,,3
100543,43-3,43,3,cave,mining,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,110100214,3600,110100214,120,1000543,,3
100544,43-4,43,4,cave,mining,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,110100215,14400,110100215,120,1000544,,3
100545,43-5,43,5,cave,boss,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,300100215,3600,200100215,1200,1000545,,3
100546,43-1,87,1,cave,city,,,19000029|19000029,icon/maze/cave,1200,110000001,3600,110000001,120,1000546,,3
100547,43-2,87,2,cave,field,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,110000002,3600,110000002,120,1000547,,3
100548,43-3,87,3,cave,mining,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,110200214,3600,110200214,120,1000548,,3
100549,43-4,87,4,cave,mining,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,110200215,14400,110200215,120,1000549,,3
100550,43-5,87,5,cave,boss,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,300200215,3600,200200215,1200,1000550,,3
100551,43-1,125,1,cave,city,,,19000029|19000029,icon/maze/cave,1200,110000001,3600,110000001,120,1000551,,3
100552,43-2,125,2,cave,field,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,110000002,3600,110000002,120,1000552,,3
100553,43-3,125,3,cave,mining,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,110300214,3600,110300214,120,1000553,,3
100554,43-4,125,4,cave,mining,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,110300215,14400,110300215,120,1000554,,3
100555,43-5,125,5,cave,boss,,,19000019|19000006|19000016|19000029|19000023,icon/maze/cave,1200,300300215,3600,200300215,1200,1000555,,3
100556,44-1,44,1,time,field,,,14000001|14000002|14000003|14000004|14000005,icon/maze/time,1200,110000001,3600,110000001,120,1000556,,18
100557,44-2,44,2,time,field,,,18000028|13000008|13000007,icon/maze/time,1200,110000002,3600,110000002,120,1000557,,18
100558,44-3,44,3,time,mining,,,17000012|11000033|11000034|11000035,icon/maze/time,1200,110100219,3600,110100219,120,1000558,,18
100559,44-4,44,4,time,mining,,,18000003|15000011|15000012,icon/maze/time,1200,110100220,14400,110100220,120,1000559,,18
100560,44-5,44,5,time,boss,,,17000003|15000001|15000003|15000002,icon/maze/time,1200,300100220,3600,200100220,1200,1000560,,18
100561,44-1,88,1,time,field,,,14000001|14000002|14000003|14000004|14000005,icon/maze/time,1200,110000001,3600,110000001,120,1000561,,18
100562,44-2,88,2,time,field,,,18000028|13000008|13000007,icon/maze/time,1200,110000002,3600,110000002,120,1000562,,18
100563,44-3,88,3,time,mining,,,17000012|11000033|11000034|11000035,icon/maze/time,1200,110200219,3600,110200219,120,1000563,,18
100564,44-4,88,4,time,mining,,,18000003|15000011|15000012,icon/maze/time,1200,110200220,14400,110200220,120,1000564,,18
100565,44-5,88,5,time,boss,,,17000003|15000001|15000003|15000002,icon/maze/time,1200,300200220,3600,200200220,1200,1000565,,18
100566,44-1,126,1,time,field,,,14000001|14000002|14000003|14000004|14000005,icon/maze/time,1200,110000001,3600,110000001,120,1000566,,18
100567,44-2,126,2,time,field,,,18000028|13000008|13000007,icon/maze/time,1200,110000002,3600,110000002,120,1000567,,18
